player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Jon",Nq94wEKboQ,2023-11-01T10:09:24.369Z,,20000,,39881,19881
"hoshi22",cUIYrGMKjv,2023-11-01T09:28:38.932Z,,5000,,6627,1627
"todd",Qnk6hBQyMn,2023-11-01T08:27:00.253Z,2023-11-01T11:02:30.897Z,10000,14374,0,4374
"rikk",HazIsijrf0,2023-11-01T07:17:47.969Z,2023-11-01T09:07:49.268Z,5000,0,0,-5000
"nathanielpunts",Hask2PbbPQ,2023-11-01T07:15:46.459Z,,7500,,9603,2103
"rikk",HazIsijrf0,2023-11-01T06:57:14.763Z,2023-11-01T07:06:11.305Z,5000,0,0,-5000
"peter",NB2IteM3Yf,2023-11-01T06:51:16.178Z,2023-11-01T08:15:15.406Z,5000,0,0,-5000
"Jamleg 3am",rQAcQBVMmv,2023-11-01T06:44:35.317Z,,20000,,27574,7574
"Jon",Nq94wEKboQ,2023-11-01T05:53:15.800Z,2023-11-01T10:08:15.904Z,50000,0,0,-50000
"wabadaba",zxEVksO13B,2023-11-01T05:27:59.580Z,,5000,,37455,32455
"Alex",hHRkFgnSWN,2023-11-01T05:09:17.694Z,2023-11-01T05:47:52.376Z,9838,16088,0,6250
"MarcoNIT",nXUwudvRW3,2023-11-01T04:47:23.385Z,2023-11-01T06:56:27.788Z,5000,0,0,-5000
"TYW",qHBxuV6RwG,2023-11-01T04:43:51.881Z,2023-11-01T04:48:37.513Z,5000,0,0,-5000
"Zubin goes-250",t_IWRml_Yp,2023-11-01T04:17:23.588Z,,22249,,31835,9586
"hoshi22",YqUniHSSHZ,2023-11-01T04:05:39.343Z,2023-11-01T05:49:05.723Z,5000,22012,0,17012
"Alex",hHRkFgnSWN,2023-11-01T03:42:33.793Z,2023-11-01T04:43:51.877Z,10000,9838,0,-162
"muhmun",0jFibSuBCM,2023-11-01T03:41:29.884Z,2023-11-01T05:39:20.421Z,20000,11415,0,-8585
"chenyx",QOcXWoA_S2,2023-11-01T03:39:37.752Z,,65000,,37946,-27054
"wabadaba",zxEVksO13B,2023-11-01T03:38:04.251Z,2023-11-01T04:05:06.688Z,5000,1925,0,-3075
"MarcoNIT",nXUwudvRW3,2023-11-01T03:36:02.907Z,2023-11-01T04:45:35.734Z,10000,0,0,-10000
"todd",Qnk6hBQyMn,2023-11-01T03:33:54.502Z,2023-11-01T05:11:18.075Z,5000,34650,0,29650
"Zubin NO HU",t_IWRml_Yp,2023-11-01T03:29:14.582Z,2023-11-01T04:16:28.635Z,5000,2249,0,-2751
"Eggo Waffle",yFoattIZEy,2023-11-01T02:54:25.102Z,,15000,,10276,-4724
"Vinny",YPCu608dgY,2023-11-01T02:54:25.104Z,2023-11-01T04:58:00.971Z,20000,20839,0,839
